county,year,death_cancellations,pop,deaths
Hall,2012,781,184127,1309
Hall,2013,350,186486,1259
Hall,2014,1018,189239,1477
Hall,2015,1054,192458,1476
Hall,2016,1011,196523,1479
Hall,2017,1101,199439,1528
Hall,2018,1097,202148,1550
Hancock,2012,67,9080,89
Hancock,2013,59,8955,78
Hancock,2014,79,8574,93
Hancock,2015,128,8579,116
Hancock,2016,95,8631,109
Hancock,2017,90,8545,114
Hancock,2018,99,8348,103
Haralson,2012,222,28313,332
Haralson,2013,188,28336,307
Haralson,2014,257,28487,332
Haralson,2015,251,28704,364
Haralson,2016,282,28824,383
Haralson,2017,278,29231,372
Haralson,2018,275,29533,358
Harris,2012,181,32575,234
Harris,2013,77,32539,257
Harris,2014,203,32742,259
Harris,2015,260,33159,287
Harris,2016,230,33632,268
Harris,2017,265,33943,319
Harris,2018,229,34475,296
Hart,2012,208,25516,288
Hart,2013,139,25465,288
Hart,2014,185,25372,283
Hart,2015,204,25431,320
Hart,2016,207,25497,327
Hart,2017,192,25756,287
Hart,2018,213,26099,304
Heard,2012,168,11649,115
Heard,2013,136,11561,115
Heard,2014,97,11619,141
Heard,2015,133,11552,136
Heard,2016,146,11576,150
Heard,2017,114,11759,125
Heard,2018,112,11879,146
Henry,2012,889,208061,1290
Henry,2013,306,210086,1294
Henry,2014,938,213047,1331
Henry,2015,1142,216571,1449
Henry,2016,981,221188,1403
Henry,2017,1125,225508,1532
Henry,2018,1177,230220,1598
Houston,2012,729,145930,966
Houston,2013,742,147639,1053
Houston,2014,847,148701,1068
Houston,2015,883,149412,1131
Houston,2016,871,151690,1190
Houston,2017,972,153138,1219
Houston,2018,966,155469,1239
Irwin,2012,72,9614,97
Irwin,2013,72,9365,109
Irwin,2014,84,9092,102
Irwin,2015,85,9151,105
Irwin,2016,91,9317,116
Irwin,2017,95,9383,125
Irwin,2018,96,9398,125
Jackson,2012,246,60840,545
Jackson,2013,352,61271,537
Jackson,2014,348,62103,509
Jackson,2015,453,63436,602
Jackson,2016,381,65100,600
Jackson,2017,427,67716,606
Jackson,2018,462,70422,604
Jasper,2012,112,13644,132
Jasper,2013,66,13604,145
Jasper,2014,124,13538,146
Jasper,2015,122,13687,130
Jasper,2016,116,13769,139
Jasper,2017,124,13886,158
Jasper,2018,120,14040,157
Jeff Davis,2012,115,15198,147
Jeff Davis,2013,125,15050,188
Jeff Davis,2014,129,14937,149
Jeff Davis,2015,141,15019,170
Jeff Davis,2016,139,14955,178
Jeff Davis,2017,136,15013,166
Jeff Davis,2018,138,15029,153
Jefferson,2012,211,16358,229
Jefferson,2013,87,16251,207
Jefferson,2014,180,16130,206
Jefferson,2015,192,15927,224
Jefferson,2016,147,15760,202
Jefferson,2017,180,15613,222
Jefferson,2018,171,15430,234
Jenkins,2012,108,9117,113
Jenkins,2013,49,9200,112
Jenkins,2014,100,9043,83
Jenkins,2015,93,8875,105
Jenkins,2016,90,8762,101
Jenkins,2017,84,8774,105
Jenkins,2018,92,8683,108
Johnson,2012,84,10004,99
Johnson,2013,28,9900,103
Johnson,2014,75,9807,94
Johnson,2015,105,9709,89
Johnson,2016,88,9664,103
Johnson,2017,93,9760,108
Johnson,2018,93,9708,110
Jones,2012,196,28619,269
Jones,2013,107,28572,261
Jones,2014,193,28650,270
Jones,2015,215,28446,255
Jones,2016,214,28577,283
Jones,2017,246,28453,277
Jones,2018,220,28616,291
Lamar,2012,140,18028,205
Lamar,2013,55,17924,200
Lamar,2014,190,18187,220
Lamar,2015,207,18240,205
Lamar,2016,164,18500,218
Lamar,2017,158,18636,189
Lamar,2018,182,19000,245
Lanier,2012,64,10461,95
Lanier,2013,37,10408,76
Lanier,2014,57,10365,86
Lanier,2015,76,10266,101
Lanier,2016,85,10427,91
Lanier,2017,59,10433,87
Lanier,2018,94,10340,112
Laurens,2012,398,47862,558
Laurens,2013,387,47760,558
Laurens,2014,402,47599,529
Laurens,2015,423,47513,520
Laurens,2016,445,47302,562
Laurens,2017,465,47353,582
Laurens,2018,454,47325,550
Lee,2012,150,28709,184
Lee,2013,163,29043,208
Lee,2014,141,29132,207
Lee,2015,166,29191,209
Lee,2016,162,29212,205
Lee,2017,191,29443,252
Lee,2018,187,29764,232
Liberty,2012,176,64415,303
Liberty,2013,127,62350,272
Liberty,2014,243,64107,318
Liberty,2015,260,61640,334
Liberty,2016,239,61551,351
Liberty,2017,257,61745,357
Liberty,2018,271,61497,407
Lincoln,2012,81,7762,94
Lincoln,2013,102,7733,100
Lincoln,2014,79,7644,91
Lincoln,2015,107,7719,94
Lincoln,2016,85,7856,98
Lincoln,2017,91,7861,97
Lincoln,2018,101,7915,91
Long,2012,72,15978,100
Long,2013,27,16469,97
Long,2014,80,17014,85
Long,2015,93,17646,129
Long,2016,59,18347,96
Long,2017,79,18773,92
Long,2018,83,18998,113
Lowndes,2012,539,114069,765
Lowndes,2013,183,112886,792
Lowndes,2014,611,113510,819
Lowndes,2015,614,113346,782
Lowndes,2016,593,114342,865
Lowndes,2017,687,115389,862
Lowndes,2018,675,116321,971
Lumpkin,2012,141,30710,223
Lumpkin,2013,136,30894,231
Lumpkin,2014,172,31147,265
Lumpkin,2015,209,31324,295
Lumpkin,2016,191,31505,271
Lumpkin,2017,233,32822,334
Lumpkin,2018,253,32955,302
Macon,2012,122,14298,148
Macon,2013,30,13976,149
Macon,2014,152,13822,146
Macon,2015,121,13695,150
Macon,2016,120,13487,154
Macon,2017,133,13251,179
Macon,2018,108,13143,146
Madison,2012,189,28063,285
Madison,2013,147,28194,297
Madison,2014,224,28355,313
Madison,2015,204,28397,259
Madison,2016,193,28821,284
Madison,2017,207,29277,254
Madison,2018,259,29650,339
Marion,2012,65,8672,75
Marion,2013,22,8580,73
Marion,2014,81,8633,79
Marion,2015,71,8556,81
Marion,2016,71,8465,78
Marion,2017,82,8414,93
Marion,2018,85,8351,92
McDuffie,2012,155,21628,225
McDuffie,2013,132,21501,221
McDuffie,2014,190,21525,216
McDuffie,2015,218,21468,242
McDuffie,2016,172,21467,225
McDuffie,2017,212,21497,270
McDuffie,2018,180,21531,239
McIntosh,2012,102,13882,118
McIntosh,2013,79,14027,111
McIntosh,2014,139,14065,135
McIntosh,2015,143,14033,141
McIntosh,2016,123,14058,133
McIntosh,2017,135,14102,125
McIntosh,2018,142,14340,150
Meriwether,2012,171,21339,258
Meriwether,2013,91,21223,248
Meriwether,2014,212,21213,246
Meriwether,2015,233,21177,278
Meriwether,2016,248,21076,299
Meriwether,2017,246,21031,276
Meriwether,2018,230,21068,268
Miller,2012,70,6004,70
Miller,2013,54,5899,101
Miller,2014,62,5943,70
Miller,2015,89,5843,104
Miller,2016,70,5873,87
Miller,2017,54,5833,83
Miller,2018,64,5686,96
Mitchell,2012,153,23078,230
Mitchell,2013,157,22991,236
Mitchell,2014,161,22714,241
Mitchell,2015,174,22453,261
Mitchell,2016,166,22466,229
Mitchell,2017,214,22333,290
Mitchell,2018,196,22192,270
Monroe,2012,158,26385,236
Monroe,2013,132,26630,282
Monroe,2014,227,26681,265
Monroe,2015,202,26731,278
Monroe,2016,200,26935,297
Monroe,2017,253,27181,302
Monroe,2018,242,27520,335
Montgomery,2012,65,8887,85
Montgomery,2013,58,8957,74
Montgomery,2014,82,8983,79
Montgomery,2015,95,8945,93
Montgomery,2016,68,8991,80
Montgomery,2017,79,9068,88
Montgomery,2018,92,9193,100
Morgan,2012,135,17801,169
Morgan,2013,128,17678,192
Morgan,2014,158,17894,182
Morgan,2015,159,17945,187
Morgan,2016,155,18103,183
Morgan,2017,173,18381,185
Morgan,2018,179,18853,199
Murray,2012,179,39317,340
Murray,2013,156,39187,387
Murray,2014,215,39232,357
Murray,2015,330,39450,350
Murray,2016,250,39375,409
Murray,2017,277,39809,373
Murray,2018,256,39921,383
Muscogee,2012,1331,198944,1720
Muscogee,2013,1070,203198,1778
Muscogee,2014,1553,200552,1783
Muscogee,2015,1436,198674,1822
Muscogee,2016,1439,196198,2041
Muscogee,2017,1468,193766,1900
Muscogee,2018,1461,194160,1957
Newton,2012,523,100973,744
Newton,2013,476,102064,815
Newton,2014,630,103470,825
Newton,2015,627,104941,824
Newton,2016,537,106600,801
Newton,2017,649,107935,902
Newton,2018,642,109541,856
Oconee,2012,137,33511,223
Oconee,2013,97,34076,205
Oconee,2014,152,35072,220
Oconee,2015,179,35856,226
Oconee,2016,179,36871,246
Oconee,2017,198,38012,269
Oconee,2018,209,39272,273
Oglethorpe,2012,104,14503,137
Oglethorpe,2013,81,14417,134
Oglethorpe,2014,105,14538,142
Oglethorpe,2015,119,14728,173
Oglethorpe,2016,100,14710,154
Oglethorpe,2017,124,14888,159
Oglethorpe,2018,115,15054,157
Paulding,2012,504,144720,779
Paulding,2013,440,146750,793
Paulding,2014,565,148538,871
Paulding,2015,649,151703,888
Paulding,2016,638,155364,906
Paulding,2017,725,159552,1027
Paulding,2018,776,164044,1010
Peach,2012,143,27643,239
Peach,2013,131,27040,236
Peach,2014,166,27024,242
Peach,2015,182,26855,259
Peach,2016,191,26775,304
Peach,2017,270,26881,261
Peach,2018,221,27297,294
Pickens,2012,225,29286,306
Pickens,2013,184,29414,304
Pickens,2014,256,29834,326
Pickens,2015,275,30158,315
Pickens,2016,261,30661,362
Pickens,2017,274,31526,347
Pickens,2018,259,31980,322
Pierce,2012,140,18904,203
Pierce,2013,90,19015,209
Pierce,2014,130,19008,183
Pierce,2015,145,19097,200
Pierce,2016,141,19109,212
Pierce,2017,121,19219,194
Pierce,2018,157,19389,231
Pike,2012,107,17769,155
Pike,2013,97,17773,167
Pike,2014,142,17763,149
Pike,2015,125,17919,173
Pike,2016,141,17888,183
Pike,2017,141,18206,174
Pike,2018,144,18634,192
Polk,2012,330,41086,447
Polk,2013,274,40959,445
Polk,2014,316,40866,473
Polk,2015,331,41233,465
Polk,2016,367,41625,503
Polk,2017,392,41910,498
Polk,2018,341,42470,458
Pulaski,2012,74,11702,94
Pulaski,2013,77,11567,109
Pulaski,2014,90,11511,93
Pulaski,2015,109,11397,121
Pulaski,2016,101,11290,124
Pulaski,2017,80,11208,101
Pulaski,2018,64,11069,96
Putnam,2012,221,21139,231
Putnam,2013,192,21286,244
Putnam,2014,196,21154,215
Putnam,2015,219,21320,268
Putnam,2016,194,21527,255
Putnam,2017,196,21706,210
Putnam,2018,223,21809,259
Quitman,2012,23,2408,33
Quitman,2013,15,2369,26
Quitman,2014,26,2289,41
Quitman,2015,27,2281,30
Quitman,2016,24,2326,23
Quitman,2017,24,2348,41
Quitman,2018,27,2279,41
Rabun,2012,147,16308,188
Rabun,2013,121,16190,200
Rabun,2014,164,16165,204
Rabun,2015,177,16226,228
Rabun,2016,174,16471,223
Rabun,2017,165,16557,210
Rabun,2018,165,16867,188
Randolph,2012,94,7304,90
Randolph,2013,73,7198,90
Randolph,2014,73,7311,87
Randolph,2015,88,7147,88
Randolph,2016,64,7154,90
Randolph,2017,73,6991,91
Randolph,2018,85,6833,87
Richmond,2012,1359,201572,1884
Richmond,2013,1306,201194,1875
Richmond,2014,1385,201166,1872
